County,population,south
"DuPage, IL",916924,0
"Edgar, IL",18576,0
"Edwards, IL",6721,0
"Effingham, IL",34242,0
"Fayette, IL",22140,0
"Ford, IL",14081,0
"Franklin, IL",39561,0
"Fulton, IL",37069,0
"Gallatin, IL",5589,0
"Greene, IL",13886,0
"Grundy, IL",50063,0
"Hamilton, IL",8457,0
"Hancock, IL",19104,0
"Hardin, IL",4320,0
"Henderson, IL",7331,0
"Henry, IL",50486,0
"Iroquois, IL",29718,0
"Jackson, IL",60218,0
"Jasper, IL",9698,0
"Jefferson, IL",38827,0
"Jersey, IL",22985,0
"Jo Daviess, IL",22678,0
"Johnson, IL",12582,0
"Kane, IL",515269,0
"Kankakee, IL",113449,0
"Kendall, IL",114736,0
"Knox, IL",52919,0
"Lake, IL",703462,0
"LaSalle, IL",113924,0
"Lawrence, IL",16833,0
"Lee, IL",36031,0
"Livingston, IL",38950,0
"Logan, IL",30305,0
"McDonough, IL",32612,0
"McHenry, IL",308760,0
"McLean, IL",169572,0
"Macon, IL",110768,0
"Macoupin, IL",47765,0
"Madison, IL",269282,0
"Marion, IL",39437,0
"Marshall, IL",12640,0
"Mason, IL",14666,0
"Massac, IL",15429,0
"Menard, IL",12705,0
"Mercer, IL",16434,0
"Monroe, IL",32957,0
"Montgomery, IL",30104,0
"Morgan, IL",35547,0
"Moultrie, IL",14846,0
"Ogle, IL",53497,0
"Peoria, IL",186494,0
"Perry, IL",22350,0
"Piatt, IL",16729,0
"Pike, IL",16430,0
"Pope, IL",4470,0
"Pulaski, IL",6161,0
"Putnam, IL",6006,0
"Randolph, IL",33476,0
"Richland, IL",16233,0
"Rock Island, IL",147546,0
"St. Clair, IL",270056,0
"Saline, IL",24913,0
"Sangamon, IL",197465,0
"Schuyler, IL",7544,0
"Scott, IL",5355,0
"Shelby, IL",22363,0
"Stark, IL",5994,0
"Stephenson, IL",47711,0
"Tazewell, IL",135394,0
"Union, IL",17808,0
"Vermilion, IL",81625,0
"Wabash, IL",11947,0
"Warren, IL",17707,0
"Washington, IL",14716,0
"Wayne, IL",16760,0
"White, IL",14665,0
"Whiteside, IL",58498,0
"Will, IL",677560,0
"Williamson, IL",66357,0
"Winnebago, IL",295266,0
"Woodford, IL",38664,0
"Adams, WI",20875,0
"Ashland, WI",16157,0
"Barron, WI",45870,0
"Bayfield, WI",15014,0
"Brown, WI",248007,0
"Buffalo, WI",13587,0
"Burnett, WI",15457,0
"Calumet, WI",48971,0
"Chippewa, WI",62415,0
"Clark, WI",34690,0
"Columbia, WI",56833,0
"Crawford, WI",16644,0
"Dane, WI",488073,0
"Dodge, WI",88759,0
"Door, WI",27785,0
"Douglas, WI",44159,0
"Dunn, WI",43857,0
"Eau Claire, WI",98736,0
"Florence, WI",4423,0
"Fond du Lac, WI",101633,0
"Forest, WI",9304,0
"Grant, WI",51208,0
"Green, WI",36842,0
"Green Lake, WI",19051,0
"Iowa, WI",23687,0
"Iron, WI",5916,0
"Jackson, WI",20449,0
"Jefferson, WI",83686,0
"Juneau, WI",26664,0
"Kenosha, WI",166426,0
"Kewaunee, WI",20574,0
"La Crosse, WI",114638,0
"Lafayette, WI",16836,0
"Langlade, WI",19977,0
"Lincoln, WI",28743,0
"Manitowoc, WI",81442,0
"Marathon, WI",134063,0
"Marinette, WI",41749,0
"Marquette, WI",15404,0
"Menominee, WI",4232,0
"Milwaukee, WI",947735,0
"Monroe, WI",44673,0
"Oconto, WI",37660,0
"Oneida, WI",35998,0
"Outagamie, WI",176695,0
"Ozaukee, WI",86395,0
"Pepin, WI",7469,0
"Pierce, WI",41019,0
"Polk, WI",44205,0
"Portage, WI",70019,0
"Price, WI",14159,0
"Racine, WI",195408,0
"Richland, WI",18021,0
"Rock, WI",160331,0
"Rusk, WI",14755,0
"St. Croix, WI",84345,0
"Sauk, WI",61976,0
"Sawyer, WI",16557,0
"Shawano, WI",41949,0
"Sheboygan, WI",115507,0
"Taylor, WI",20689,0
"Trempealeau, WI",28816,0
"Vernon, WI",29773,0
"Vilas, WI",21430,0
"Walworth, WI",102228,0
"Washburn, WI",15911,0
"Washington, WI",131887,0
"Waukesha, WI",389891,0
"Waupaca, WI",52410,0
"Waushara, WI",24496,0
"Winnebago, WI",166994,0
"Wood, WI",74749,0
